year,time_in,time_out,pair,direction,status,lot,entry,exit,sl,tp,pnl,balance
2023,2023-02-24 15:00:00,2023-02-24 15:30:00,USDJPY,LONG,SL,0.08,135.817,135.614,135.614,136.02,-11.98,1160.91
2023,2023-02-28 09:45:00,2023-02-28 17:00:00,USDJPY,LONG,SL,0.08,136.755,136.56614,136.56614,136.94386,-11.06,1149.85
2023,2023-03-01 09:45:00,2023-03-01 10:00:00,EURUSD,LONG,SL,0.08,1.06425,1.06281,1.06281,1.06569,-11.52,1138.33
2023,2023-04-03 14:45:00,2023-04-03 17:15:00,AUDUSD,LONG,TP,0.07,0.67632,0.67789,0.67475,0.67789,11.01,1149.34
2023,2023-04-03 14:45:00,2023-04-03 16:30:00,NZDUSD,LONG,SL,0.08,0.62921,0.62783,0.62783,0.63059,-11.05,1138.29
2023,2023-04-13 16:30:00,2023-04-14 00:00:00,NZDUSD,LONG,SL,0.07,0.62981,0.62816,0.62816,0.63146,-11.57,1126.72
2023,2023-04-19 09:00:00,2023-04-19 10:30:00,USDJPY,LONG,TP,0.11,134.618,134.75243,134.48357,134.75243,10.97,1137.69
2023,2023-04-21 09:45:00,2023-04-21 10:15:00,USDCAD,LONG,SL,0.16,1.35279,1.35184,1.35184,1.35374,-11.24,1126.44
2023,2023-04-26 10:15:00,2023-04-26 10:45:00,EURUSD,LONG,SL,0.09,1.10247,1.10123,1.10123,1.10371,-11.13,1115.31
2023,2023-05-05 11:30:00,2023-05-05 15:30:00,USDCHF,LONG,TP,0.05,0.89252,0.89467,0.89037,0.89467,12.04,1127.35
2023,2023-05-05 15:30:00,2023-05-05 16:00:00,USDJPY,LONG,SL,0.06,135.07,134.794,134.794,135.346,-12.29,1115.06
2023,2023-05-10 15:45:00,2023-05-10 16:15:00,AUDUSD,LONG,SL,0.06,0.68154,0.67979,0.67979,0.68329,-10.51,1104.56
2023,2023-05-25 10:00:00,2023-05-25 11:15:00,EURUSD,SHORT,SL,0.1,1.07174,1.07288,1.07288,1.0706,-11.43,1093.13
2023,2023-05-30 09:15:00,2023-05-30 09:30:00,USDJPY,LONG,SL,0.08,140.906,140.706,140.706,141.106,-11.37,1081.76
2023,2023-05-31 10:45:00,2023-05-31 12:00:00,USDCHF,LONG,SL,0.09,0.91168,0.91055,0.91055,0.91281,-11.13,1070.63
2023,2023-06-06 08:00:00,2023-06-06 08:45:00,AUDUSD,LONG,SL,0.05,0.66815,0.66617,0.66617,0.67013,-9.89,1060.74
2023,2023-06-23 10:15:00,2023-06-23 11:15:00,USDCHF,LONG,SL,0.09,0.90056,0.8995,0.8995,0.90162,-10.63,1050.1
2023,2023-07-03 09:30:00,2023-07-03 12:15:00,USDCHF,LONG,TP,0.09,0.89822,0.8993,0.89714,0.8993,10.84,1060.94
2023,2023-07-21 10:45:00,2023-07-21 11:15:00,USDJPY,LONG,TP,0.04,141.378,141.73443,141.02157,141.73443,10.06,1071.0
2023,2023-07-25 11:00:00,2023-07-25 12:30:00,EURUSD,SHORT,TP,0.07,1.10578,1.10429,1.10727,1.10429,10.42,1081.42
2023,2023-08-08 15:00:00,2023-08-08 16:15:00,USDCAD,LONG,SL,0.09,1.34886,1.34715,1.34715,1.35057,-11.43,1069.98
2023,2023-08-24 15:30:00,2023-08-24 16:15:00,USDJPY,LONG,SL,0.08,145.946,145.76157,145.76157,146.13043,-10.12,1059.86
2023,2023-08-29 14:15:00,2023-08-29 15:15:00,USDJPY,LONG,TP,0.1,147.041,147.19729,146.88471,147.19729,10.62,1070.48
2023,2023-08-29 14:45:00,2023-08-29 15:15:00,USDJPY,LONG,TP,0.09,147.147,147.32871,146.96529,147.32871,11.1,1081.58
2023,2023-08-29 15:15:00,2023-08-29 16:00:00,USDJPY,LONG,SL,0.08,147.339,147.12957,147.12957,147.54843,-11.39,1070.19
2023,2023-09-05 09:15:00,2023-09-05 10:00:00,USDJPY,LONG,SL,0.13,146.978,146.85671,146.85671,147.09929,-10.74,1059.46
2023,2023-09-05 10:00:00,2023-09-05 11:00:00,USDCAD,LONG,TP,0.13,1.36484,1.36599,1.36369,1.36599,10.96,1070.41
2023,2023-09-05 10:30:00,2023-09-05 13:30:00,USDCAD,LONG,SL,0.12,1.3658,1.36453,1.36453,1.36707,-11.13,1059.28
2023,2023-09-05 11:00:00,2023-09-05 12:45:00,USDCAD,LONG,SL,0.1,1.36652,1.36511,1.36511,1.36793,-10.34,1048.94
2023,2023-10-26 09:00:00,2023-10-26 09:30:00,USDJPY,LONG,TP,0.14,150.654,150.764,150.544,150.764,10.21,1059.16
2023,2023-10-26 09:30:00,2023-10-26 09:45:00,USDJPY,LONG,SL,0.13,150.778,150.65557,150.65557,150.90043,-10.56,1048.59
2023,2023-10-31 10:45:00,2023-10-31 11:45:00,EURUSD,LONG,TP,0.08,1.0646,1.066,1.0632,1.066,11.17,1059.76
2023,2023-11-03 14:30:00,2023-11-03 16:00:00,AUDUSD,LONG,SL,0.07,0.65004,0.64842,0.64842,0.65166,-11.34,1048.42
2023,2023-11-03 14:30:00,2023-11-03 15:30:00,GBPUSD,LONG,TP,0.04,1.23037,1.23287,1.22787,1.23287,10.02,1058.44
2023,2023-11-03 14:30:00,2023-11-03 16:00:00,EURUSD,LONG,TP,0.05,1.0709,1.07284,1.06896,1.07284,9.68,1068.12
2023,2023-11-03 15:30:00,2023-11-03 16:00:00,NZDUSD,LONG,SL,0.07,0.59858,0.59697,0.59697,0.60019,-11.3,1056.82
2023,2023-11-14 15:30:00,2023-11-14 16:45:00,NZDUSD,LONG,TP,0.05,0.59465,0.59679,0.59251,0.59679,10.68,1067.49
2023,2023-11-14 15:30:00,2023-11-14 16:00:00,EURUSD,LONG,TP,0.05,1.0795,1.08173,1.07727,1.08173,11.17,1078.67
2023,2023-11-14 15:30:00,2023-11-14 16:00:00,AUDUSD,LONG,TP,0.05,0.64414,0.64621,0.64207,0.64621,10.33,1088.99
2023,2023-11-14 16:00:00,2023-11-14 18:30:00,AUDUSD,LONG,TP,0.04,0.64666,0.64912,0.6442,0.64912,9.83,1098.82
2023,2023-11-14 16:00:00,2023-11-14 18:45:00,NZDUSD,LONG,TP,0.04,0.59616,0.59864,0.59368,0.59864,9.91,1108.74
2023,2023-11-22 08:00:00,2023-11-22 10:15:00,USDJPY,LONG,TP,0.07,148.928,149.15443,148.70157,149.15443,10.63,1119.36
2024,2024-02-02 15:30:00,2024-02-02 15:45:00,USDJPY,LONG,TP,0.05,147.655,147.97371,147.33629,147.97371,10.77,1130.13
2024,2024-02-02 15:45:00,2024-02-02 18:15:00,USDJPY,LONG,TP,0.05,147.973,148.33443,147.61157,148.33443,12.18,1142.32
2024,2024-02-02 15:45:00,2024-02-02 17:15:00,USDCHF,LONG,TP,0.05,0.86367,0.86583,0.86151,0.86583,12.45,1154.77
2024,2024-02-02 16:30:00,2024-02-05 02:30:00,USDCAD,LONG,TP,0.07,1.34629,1.34866,1.34392,1.34866,12.32,1167.08
2024,2024-02-13 09:30:00,2024-02-13 10:00:00,USDCHF,LONG,TP,0.1,0.87992,0.881,0.87884,0.881,12.21,1179.29
2024,2024-02-13 10:00:00,2024-02-13 11:45:00,USDCHF,LONG,SL,0.07,0.88136,0.87988,0.87988,0.88284,-11.81,1167.48
2024,2024-02-13 15:30:00,2024-02-13 17:45:00,USDJPY,LONG,TP,0.07,150.316,150.58086,150.05114,150.58086,12.31,1179.8
2024,2024-02-13 15:45:00,2024-02-13 18:30:00,USDJPY,LONG,TP,0.06,150.445,150.72957,150.16043,150.72957,11.33,1191.12
2024,2024-02-13 15:45:00,2024-02-13 16:30:00,USDCAD,LONG,TP,0.07,1.35244,1.35484,1.35004,1.35484,12.39,1203.51
2024,2024-02-13 16:00:00,2024-02-13 16:45:00,USDCAD,LONG,TP,0.06,1.35351,1.35605,1.35097,1.35605,11.25,1214.76
2024,2024-03-06 09:00:00,2024-03-06 09:15:00,USDJPY,SHORT,SL,0.11,149.451,149.61871,149.61871,149.28329,-12.33,1202.43
2024,2024-03-21 10:30:00,2024-03-21 11:30:00,USDCHF,LONG,SL,0.04,0.89607,0.89344,0.89344,0.8987,-11.77,1190.66
2024,2024-04-05 16:00:00,2024-04-05 17:15:00,USDCAD,LONG,SL,0.07,1.36446,1.36213,1.36213,1.36679,-11.97,1178.69
2024,2024-04-10 15:30:00,2024-04-10 16:30:00,USDCAD,LONG,TP,0.08,1.36491,1.36705,1.36277,1.36705,12.54,1191.23
2024,2024-04-10 15:30:00,2024-04-10 15:45:00,USDJPY,LONG,SL,0.11,152.49,152.32929,152.32929,152.65071,-11.61,1179.63
2024,2024-04-10 15:30:00,2024-04-10 16:30:00,EURUSD,SHORT,TP,0.06,1.07785,1.07587,1.07983,1.07587,11.85,1191.48
2024,2024-04-10 16:00:00,2024-04-10 18:45:00,USDCHF,LONG,TP,0.05,0.91053,0.9129,0.90816,0.9129,13.0,1204.49
2024,2024-05-03 15:30:00,2024-05-03 16:30:00,USDJPY,SHORT,SL,0.05,152.204,152.57443,152.57443,151.83357,-12.14,1192.35
2024,2024-06-07 16:00:00,2024-06-10 02:30:00,USDCHF,LONG,Timeout(+),0.05,0.8962,0.8963,0.89425,0.89815,0.56,1192.91
2024,2024-06-12 15:30:00,2024-06-12 16:15:00,NZDUSD,LONG,TP,0.08,0.62009,0.62163,0.61855,0.62163,12.32,1205.23
2024,2024-06-12 15:30:00,2024-06-12 16:00:00,GBPUSD,LONG,TP,0.05,1.28351,1.28575,1.28127,1.28575,11.19,1216.42
2024,2024-06-12 15:30:00,2024-06-12 15:45:00,USDJPY,SHORT,TP,0.09,156.31,156.08886,156.53114,156.08886,12.75,1229.17
2024,2024-06-12 15:30:00,2024-06-12 16:15:00,AUDUSD,LONG,TP,0.07,0.66764,0.66937,0.66591,0.66937,12.11,1241.28
2024,2024-06-12 15:45:00,2024-06-12 21:45:00,AUDUSD,LONG,SL,0.06,0.66888,0.66695,0.66695,0.67081,-11.61,1229.67
2024,2024-06-12 15:45:00,2024-06-12 17:00:00,GBPUSD,LONG,SL,0.05,1.28538,1.28287,1.28287,1.28789,-12.57,1217.1
2024,2024-06-12 15:45:00,2024-06-12 21:00:00,NZDUSD,LONG,SL,0.07,0.62103,0.61933,0.61933,0.62273,-11.9,1205.2
2024,2024-06-12 15:45:00,2024-06-12 16:15:00,USDJPY,SHORT,TP,0.07,156.131,155.86643,156.39557,155.86643,11.88,1217.08
2024,2024-06-12 15:45:00,2024-06-12 17:30:00,EURUSD,LONG,TP,0.06,1.08271,1.0846,1.08082,1.0846,11.35,1228.43
2024,2024-07-11 15:30:00,2024-07-11 15:45:00,NZDUSD,LONG,SL,0.1,0.61338,0.6122,0.6122,0.61456,-11.84,1216.59
2024,2024-07-11 15:30:00,2024-07-11 16:15:00,GBPUSD,LONG,SL,0.06,1.29442,1.29253,1.29253,1.29631,-11.33,1205.26
2024,2024-07-11 15:30:00,2024-07-11 15:45:00,USDJPY,SHORT,SL,0.04,158.713,159.23214,159.23214,158.19386,-13.04,1192.22
2024,2024-08-02 15:30:00,2024-08-02 16:00:00,USDJPY,SHORT,SL,0.03,147.247,147.836,147.836,146.658,-11.95,1180.26
2024,2024-08-15 15:30:00,2024-08-15 16:00:00,USDCHF,LONG,TP,0.06,0.87273,0.8745,0.87096,0.8745,12.14,1192.41
2024,2024-08-15 15:30:00,2024-08-15 16:00:00,USDJPY,LONG,TP,0.05,148.773,149.155,148.391,149.155,12.81,1205.21
2024,2024-08-15 16:00:00,2024-08-15 16:15:00,USDCHF,LONG,SL,0.05,0.87471,0.87255,0.87255,0.87687,-12.35,1192.86
2024,2024-10-04 15:30:00,2024-10-04 16:15:00,USDCHF,LONG,TP,0.05,0.85878,0.8607,0.85686,0.8607,11.15,1204.01
2024,2024-10-04 15:45:00,2024-10-04 23:45:00,USDCHF,LONG,SL,0.05,0.85993,0.85786,0.85786,0.862,-12.08,1191.93
2025,2025-02-12 09:45:00,2025-02-12 11:00:00,USDJPY,LONG,SL,0.07,153.704,153.45314,153.45314,153.95486,-11.44,1180.48
2025,2025-03-10 13:45:00,2025-03-10 14:15:00,USDJPY,LONG,SL,0.06,147.139,146.82857,146.82857,147.44943,-12.69,1167.8
2025,2025-04-16 09:00:00,2025-04-16 10:45:00,USDJPY,LONG,SL,0.06,142.326,142.05671,142.05671,142.59529,-11.37,1156.42
2025,2025-05-12 10:15:00,2025-05-12 10:45:00,GBPUSD,SHORT,TP,0.04,1.31931,1.31656,1.32206,1.31656,11.01,1167.43
2025,2025-07-01 10:15:00,2025-07-01 10:45:00,USDJPY,SHORT,TP,0.07,143.308,143.06843,143.54757,143.06843,11.72,1179.15
2025,2025-10-06 09:15:00,2025-10-06 12:00:00,USDJPY,SHORT,SL,0.06,150.102,150.39829,150.39829,149.80571,-11.82,1167.33
2025,2025-10-14 09:30:00,2025-10-14 10:15:00,GBPUSD,SHORT,TP,0.06,1.32777,1.32581,1.32973,1.32581,11.75,1179.08
2025,2025-12-01 10:30:00,2025-12-01 11:30:00,USDJPY,LONG,SL,0.08,155.569,155.32729,155.32729,155.81071,-12.45,1166.63
2025,2025-12-01 15:45:00,2025-12-01 17:00:00,USDJPY,LONG,TP,0.07,154.854,155.105,154.603,155.105,11.33,1177.96
2025,2025-12-19 16:15:00,2025-12-19 17:30:00,USDJPY,LONG,TP,0.07,157.216,157.47043,156.96157,157.47043,11.31,1189.27
